visit_bucket_sk,visit_bucket,visit_bucket_order,user_count
2,2-5 Visits,2,858
6,51+ Visits,6,422
4,11-20 Visits,4,1174
1,1 Visit,1,685
3,6-10 Visits,3,273
5,21-50 Visits,5,598
