date_sk,date,day_name,is_weekend,holiday_flag,year,month,total_requests,unique_hosts,unique_human_hosts,unique_pages,active_countries,total_404,pct_404,avg_response_time_ms,p95_response_time_ms,total_bytes_sent,crawler_requests,pct_crawler,direct_traffic_requests,slow_requests,pct_slow_requests,peak_hour_requests,peak_traffic_hour,top_browser_share
20100708,2010-07-08,Thursday,No,No,2010,7,1496,32,27,1039,14,139,9.29,372.0,1005.0,0,412,27.54,1496,5,0.33,497,22,0.74
20091103,2009-11-03,Tuesday,No,No,2009,11,3632,5,5,841,1,383,10.55,168.0,470.9,0,0,0.0,3632,1,0.03,914,14,
20100628,2010-06-28,Monday,No,No,2010,6,1141,32,29,595,15,129,11.31,480.0,1079.0,0,323,28.31,1141,1,0.09,104,19,2.98
20100430,2010-04-30,Friday,No,No,2010,4,1902,38,33,957,16,173,9.1,470.0,1579.9,0,268,14.09,1902,11,0.58,303,19,2.84
20100725,2010-07-25,Sunday,Yes,No,2010,7,1322,23,16,896,12,278,21.03,452.0,898.85,10456809,532,40.24,880,2,0.15,244,11,2.65
20100926,2010-09-26,Sunday,Yes,No,2010,9,1374,29,23,829,17,202,14.7,564.0,1213.1,13700189,748,54.44,1001,17,1.24,186,22,3.28
20100406,2010-04-06,Tuesday,No,No,2010,4,2736,41,38,870,23,191,6.98,480.0,908.5,0,149,5.45,2736,18,0.66,1027,3,2.38
20101113,2010-11-13,Saturday,Yes,No,2010,11,1294,30,25,632,16,116,8.96,899.0,1910.4,35580014,588,45.44,747,9,0.7,131,21,4.1
20091106,2009-11-06,Friday,No,No,2009,11,281,2,2,98,1,31,11.03,159.0,464.0,0,0,0.0,281,0,0.0,223,11,
20101212,2010-12-12,Sunday,Yes,No,2010,12,1328,34,29,640,19,239,18.0,471.0,1582.25,12395291,446,33.58,717,4,0.3,180,0,7.53
20100528,2010-05-28,Friday,No,No,2010,5,1488,34,29,863,18,131,8.8,418.0,966.3,0,449,30.17,1488,1,0.07,231,9,6.12
20100718,2010-07-18,Sunday,Yes,No,2010,7,1607,29,25,918,13,432,26.88,497.0,1542.7,50615915,353,21.97,993,4,0.25,246,20,0.25
20101223,2010-12-23,Thursday,No,No,2010,12,980,25,20,567,16,117,11.94,504.0,1335.05,8785756,357,36.43,497,1,0.1,233,20,
20100117,2010-01-17,Sunday,Yes,No,2010,1,2723,50,45,1816,19,141,5.18,424.0,845.9,0,1304,47.89,2723,9,0.33,254,15,3.34
20100714,2010-07-14,Wednesday,No,No,2010,7,976,34,28,466,14,112,11.48,515.0,1014.25,0,346,35.45,976,5,0.51,160,11,2.36
20100105,2010-01-05,Tuesday,No,No,2010,1,1592,36,34,870,20,124,7.79,575.0,1088.5,0,170,10.68,1592,12,0.75,280,23,2.64
20091130,2009-11-30,Monday,No,No,2009,11,603,7,6,395,2,48,7.96,525.0,1124.3,0,185,30.68,603,7,1.16,321,1,2.82
20091213,2009-12-13,Sunday,Yes,No,2009,12,1474,26,25,943,14,128,8.68,567.0,1189.05,0,727,49.32,1474,5,0.34,189,14,6.24
20100304,2010-03-04,Thursday,No,No,2010,3,1681,39,38,777,14,172,10.23,375.0,939.0,0,169,10.05,1681,3,0.18,220,22,2.62
20091102,2009-11-02,Monday,No,No,2009,11,3741,5,5,721,1,264,7.06,144.0,371.0,0,0,0.0,3741,2,0.05,909,12,
20091024,2009-10-24,Saturday,Yes,No,2009,10,11,3,3,8,2,8,72.73,173.0,335.0,0,0,0.0,11,0,0.0,5,1,45.45
20100104,2010-01-04,Monday,No,No,2010,1,1631,44,38,1028,24,119,7.3,702.0,1466.5,0,117,7.17,1631,16,0.98,696,21,2.39
20100809,2010-08-09,Monday,No,No,2010,8,1919,27,23,1166,15,285,14.85,707.0,1709.0,19612059,389,20.27,911,15,0.78,365,17,3.23
20100629,2010-06-29,Tuesday,No,No,2010,6,1086,37,31,543,14,142,13.08,455.0,992.75,0,372,34.25,1086,2,0.18,195,22,0.09
20101020,2010-10-20,Wednesday,No,No,2010,10,1205,38,34,593,20,255,21.16,849.0,1527.6,13303515,270,22.41,526,25,2.07,202,13,1.91
20100705,2010-07-05,Monday,No,No,2010,7,1087,25,19,670,11,92,8.46,411.0,748.4,0,389,35.79,1087,3,0.28,236,7,0.74
20101118,2010-11-18,Thursday,No,No,2010,11,1255,38,34,731,21,140,11.16,789.0,1850.5,47881591,572,45.58,740,25,1.99,111,9,3.27
20100204,2010-02-04,Thursday,No,No,2010,2,3071,46,40,1541,25,175,5.7,810.0,1541.5,0,607,19.77,3071,48,1.56,303,16,
20100830,2010-08-30,Monday,No,Yes,2010,8,896,28,24,449,18,95,10.6,432.0,1286.75,9328230,334,37.28,492,0,0.0,76,14,5.8
20100221,2010-02-21,Sunday,Yes,No,2010,2,1134,31,29,718,15,97,8.55,728.0,1119.4,0,251,22.13,1134,12,1.06,260,16,7.5
20100622,2010-06-22,Tuesday,No,No,2010,6,1580,35,31,873,15,195,12.34,426.0,1172.85,0,301,19.05,1580,5,0.32,267,20,6.46
20101225,2010-12-25,Saturday,Yes,No,2010,12,811,24,20,516,11,95,11.71,417.0,883.5,7272327,484,59.68,619,0,0.0,74,15,0.12
20100923,2010-09-23,Thursday,No,No,2010,9,1853,29,25,950,14,159,8.58,335.0,838.6,34295519,497,26.82,713,4,0.22,429,13,1.3
20100307,2010-03-07,Sunday,Yes,No,2010,3,1084,27,20,703,14,82,7.56,408.0,864.85,0,204,18.82,1084,2,0.18,265,12,21.86
20101202,2010-12-02,Thursday,No,No,2010,12,891,35,29,427,21,88,9.88,494.0,1584.5,11227854,432,48.48,549,2,0.22,80,13,0.67
20110205,2011-02-05,Saturday,Yes,No,2011,2,763,31,25,327,20,111,14.55,977.0,1141.8,9905081,251,32.9,411,11,1.44,101,16,0.79
20110427,2011-04-27,Wednesday,No,No,2011,4,1583,51,43,772,22,151,9.54,396.0,962.8,35019659,350,22.11,536,10,0.63,409,0,0.19
20100916,2010-09-16,Thursday,No,No,2010,9,1728,39,33,995,22,169,9.78,470.0,1411.25,16573726,441,25.52,668,10,0.58,276,17,3.24
20101126,2010-11-26,Friday,No,No,2010,11,1828,39,33,785,19,138,7.55,633.0,1674.2,23383191,402,21.99,709,8,0.44,613,23,0.11
20110516,2011-05-16,Monday,No,No,2011,5,1511,53,45,747,28,165,10.92,568.0,1634.0,14898475,458,30.31,641,15,0.99,186,19,3.24
20101025,2010-10-25,Monday,No,No,2010,10,1203,36,31,508,18,138,11.47,542.0,1694.6,16241076,372,30.92,551,4,0.33,151,20,2.83
20100314,2010-03-14,Sunday,Yes,No,2010,3,1810,36,32,941,17,136,7.51,329.0,879.55,0,183,10.11,1810,4,0.22,578,22,3.09
20110504,2011-05-04,Wednesday,No,No,2011,5,1487,49,40,767,24,161,10.83,480.0,1474.3,13893265,559,37.59,741,14,0.94,219,0,5.11
20100106,2010-01-06,Wednesday,No,No,2010,1,3571,40,39,1832,22,194,5.43,397.0,852.0,0,212,5.94,3571,5,0.14,1255,20,1.79
