page_sk,page_path,page_category,total_requests,unique_hosts,total_404,pct_404,total_bytes_sent,avg_response_time_ms,p95_response_time_ms,max_response_time_ms,slow_requests,pct_slow_requests,active_days
61,/CACAATss,Other,1,1,1,100.00,1424,63.00,63.00,63,0,0.00,1
62,/CGE00271_75px.jpg,Image,3,3,3,100.00,4272,365.33,377.70,379,0,0.00,3
63,/cgi-bin/textenv.pl,Other,5,1,5,100.00,0,365.80,367.00,367,0,0.00,2
64,/CMSShared/,Other,6,4,0,0.00,0,51.00,78.75,86,0,0.00,6
65,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,130.33,258.90,281,0,0.00,1
66,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,168.00,168.00,168,0,0.00,1
67,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,60.33,81.50,85,0,0.00,1
68,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,41.00,41.00,41,0,0.00,1
69,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,122.67,249.00,271,0,0.00,1
70,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,40.00,40.00,40,0,0.00,1
71,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,59.67,72.80,75,0,0.00,1
72,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,41.00,41.00,41,0,0.00,1
73,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,69.00,69.00,69,0,0.00,1
74,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,65.67,80.70,83,0,0.00,1
75,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,83.00,83.00,83,0,0.00,1
76,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,74.67,85.70,86,0,0.00,1
77,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,43.00,43.00,43,0,0.00,1
78,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,58.33,73.50,76,0,0.00,1
79,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,80.00,80.00,80,0,0.00,1
80,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,128.33,248.90,270,0,0.00,1
81,/CMSShared/Chooser.aspx,Dynamic Page,4,1,0,0.00,0,614.75,1497.40,1642,0,0.00,1
82,/CMSShared/Darwin/Home.aspx,Dynamic Page,4,2,4,100.00,0,74.25,106.45,109,0,0.00,4
83,/cmsshared/document.aspx,Dynamic Page,1,1,0,0.00,0,689.00,689.00,689,0,0.00,1
84,/CMSShared/Document.aspx,Dynamic Page,1,1,0,0.00,0,1282.00,1282.00,1282,0,0.00,1
85,/CMSShared/Document.aspx,Dynamic Page,1,1,0,0.00,2866,2148.00,2148.00,2148,0,0.00,1
86,/CMSShared/Document.aspx,Dynamic Page,18,13,0,0.00,39225,300.78,442.20,517,0,0.00,17
87,/CMSShared/Document.aspx,Dynamic Page,18,13,0,0.00,26035,310.11,575.60,664,0,0.00,17
88,/CMSShared/Document.aspx,Dynamic Page,18,13,0,0.00,52195,278.06,431.65,458,0,0.00,16
89,/CMSShared/Document.aspx,Dynamic Page,18,17,0,0.00,34726,298.61,435.05,441,0,0.00,16
90,/CMSShared/Document.aspx,Dynamic Page,21,17,0,0.00,39183,384.24,717.00,879,0,0.00,20
91,/CMSShared/Document.aspx,Dynamic Page,39,26,0,0.00,87728,374.21,725.40,866,0,0.00,29
92,/CMSShared/Document.aspx,Dynamic Page,3,3,0,0.00,13161,216.00,429.90,466,0,0.00,2
93,/CMSShared/Document.aspx,Dynamic Page,26,20,0,0.00,39022,283.54,421.00,670,0,0.00,21
94,/CMSShared/Document.aspx,Dynamic Page,2,2,0,0.00,8350,480.00,603.30,617,0,0.00,2
95,/CMSShared/Document.aspx,Dynamic Page,31,22,0,0.00,37670,309.39,579.50,789,0,0.00,23
96,/CMSShared/Document.aspx,Dynamic Page,5,4,0,0.00,23048,277.40,436.60,442,0,0.00,3
97,/CMSShared/Document.aspx,Dynamic Page,36,24,0,0.00,45366,311.22,700.75,1216,0,0.00,27
98,/CMSShared/Document.aspx,Dynamic Page,15,12,0,0.00,34031,361.27,476.00,476,0,0.00,14
99,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,25.00,25.00,25,0,0.00,1
100,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,24.00,24.00,24,0,0.00,1
101,/CMSShared/Download.aspx,Dynamic Page,31,20,0,0.00,194052657,39383.55,128462.00,361370,17,54.84,26
102,/CMSShared/Download.aspx,Dynamic Page,37,25,0,0.00,4090463,2261.05,5775.20,11261,3,8.11,28
103,/CMSShared/Download.aspx,Dynamic Page,24,20,0,0.00,4090906,1804.96,3244.15,3728,0,0.00,19
104,/CMSShared/Download.aspx,Dynamic Page,35,23,0,0.00,5588060,3811.20,9232.60,39674,6,17.14,25
105,/CMSShared/Download.aspx,Dynamic Page,95,52,0,0.00,2328042,1005.98,2648.90,6016,1,1.05,52
106,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,620.00,620.00,620,0,0.00,1
107,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,702.00,702.00,702,0,0.00,1
108,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,334.00,334.00,334,0,0.00,1
109,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,609.00,609.00,609,0,0.00,1
110,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,498.00,498.00,498,0,0.00,1
111,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,728.00,728.00,728,0,0.00,1
112,/CMSShared/Download.aspx,Dynamic Page,2,1,0,0.00,654,347.50,391.15,396,0,0.00,1
113,/CMSShared/Download.aspx,Dynamic Page,19,12,0,0.00,6743586,11848.79,30527.00,97226,7,36.84,13
114,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,87.00,87.00,87,0,0.00,1
115,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,57.00,57.00,57,0,0.00,1
116,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,75.00,75.00,75,0,0.00,1
117,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,59.00,59.00,59,0,0.00,1
118,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,63.00,63.00,63,0,0.00,1
119,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,75.00,75.00,75,0,0.00,1
120,/CMSShared/Image.aspx,Dynamic Page,2,1,0,0.00,0,76.00,76.90,77,0,0.00,1
121,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,105.00,105.00,105,0,0.00,1
122,/CMSShared/Image.aspx,Dynamic Page,2,1,0,0.00,0,309.50,453.95,470,0,0.00,1
123,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,222.00,222.00,222,0,0.00,1
124,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,86.00,86.00,86,0,0.00,1
125,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,103.00,103.00,103,0,0.00,1
126,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,106.00,106.00,106,0,0.00,1
127,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,117.00,117.00,117,0,0.00,1
128,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,85.00,85.00,85,0,0.00,1
129,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,71.00,71.00,71,0,0.00,1
130,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,131.00,131.00,131,0,0.00,1
131,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,88.00,88.00,88,0,0.00,1
132,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,129.00,129.00,129,0,0.00,1
133,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,136.00,136.00,136,0,0.00,1
134,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,247.00,247.00,247,0,0.00,1
135,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,72.00,72.00,72,0,0.00,1
136,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,122.00,122.00,122,0,0.00,1
137,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,118.00,118.00,118,0,0.00,1
138,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,112.00,112.00,112,0,0.00,1
139,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,129.00,129.00,129,0,0.00,1
140,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,86.00,86.00,86,0,0.00,1
141,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,118.00,118.00,118,0,0.00,1
142,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,135.00,135.00,135,0,0.00,1
143,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,113.00,113.00,113,0,0.00,1
144,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,429.00,429.00,429,0,0.00,1
145,/CMSShared/Image.aspx,Dynamic Page,2,1,0,0.00,0,81.50,82.85,83,0,0.00,1
146,/CMSShared/Image.aspx,Dynamic Page,3,1,0,0.00,0,96.00,117.00,119,0,0.00,1
147,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,129.00,129.00,129,0,0.00,1
148,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,72.00,72.00,72,0,0.00,1
149,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,123.00,123.00,123,0,0.00,1
150,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,134.00,134.00,134,0,0.00,1
151,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,72.00,72.00,72,0,0.00,1
152,/CMSShared/Image.aspx,Dynamic Page,2,1,0,0.00,0,141.50,187.85,193,0,0.00,1
153,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,206.00,206.00,206,0,0.00,1
154,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,520.00,520.00,520,0,0.00,1
155,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,332.00,332.00,332,0,0.00,1
156,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,248.00,248.00,248,0,0.00,1
157,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,270.00,270.00,270,0,0.00,1
158,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,183.00,183.00,183,0,0.00,1
159,/CMSShared/Image.aspx,Dynamic Page,1,1,0,0.00,0,314.00,314.00,314,0,0.00,1
160,/CMSShared/LogOut.aspx,Dynamic Page,25,4,0,0.00,0,61.16,123.00,288,0,0.00,3
161,/CMSShared/Weblink.aspx,Dynamic Page,1,1,0,0.00,0,104.00,104.00,104,0,0.00,1
162,/CMSShared/Weblink.aspx,Dynamic Page,2,1,0,0.00,0,92.00,100.10,101,0,0.00,1
163,/CMSShared/Weblink.aspx,Dynamic Page,2,1,0,0.00,0,70.00,73.60,74,0,0.00,1
164,/CMSShared/Weblink.aspx,Dynamic Page,1,1,0,0.00,0,108.00,108.00,108,0,0.00,1
165,/CMSShared/Weblink.aspx,Dynamic Page,1,1,0,0.00,0,111.00,111.00,111,0,0.00,1
166,/CMSShared/Weblink.aspx,Dynamic Page,4,1,0,0.00,0,85.75,104.95,106,0,0.00,1
167,/CMSShared/Weblink.aspx,Dynamic Page,2,1,0,0.00,0,155.50,164.05,165,0,0.00,1
168,/CMSShared/Weblink.aspx,Dynamic Page,2,1,0,0.00,0,84.50,102.95,105,0,0.00,1
