status_sk,status_code,sub_status,win32_status,status_category,status_label,description,severity
105,0,3454,483,Unknown,Other,Other - 0 status code,Unknown
106,0,3454,488,Unknown,Other,Other - 0 status code,Unknown
107,0,3454,489,Unknown,Other,Other - 0 status code,Unknown
108,0,3454,495,Unknown,Other,Other - 0 status code,Unknown
109,0,3454,684,Unknown,Other,Other - 0 status code,Unknown
110,0,3454,773,Unknown,Other,Other - 0 status code,Unknown
111,0,3515,485,Unknown,Other,Other - 0 status code,Unknown
112,0,3552,429,Unknown,Other,Other - 0 status code,Unknown
113,0,3552,458,Unknown,Other,Other - 0 status code,Unknown
114,0,3552,463,Unknown,Other,Other - 0 status code,Unknown
115,0,3552,478,Unknown,Other,Other - 0 status code,Unknown
116,0,3552,483,Unknown,Other,Other - 0 status code,Unknown
117,0,3552,484,Unknown,Other,Other - 0 status code,Unknown
118,0,3552,490,Unknown,Other,Other - 0 status code,Unknown
119,0,3552,679,Unknown,Other,Other - 0 status code,Unknown
120,0,3552,768,Unknown,Other,Other - 0 status code,Unknown
121,0,3556,427,Unknown,Other,Other - 0 status code,Unknown
122,0,3556,456,Unknown,Other,Other - 0 status code,Unknown
123,0,3556,461,Unknown,Other,Other - 0 status code,Unknown
124,0,3556,476,Unknown,Other,Other - 0 status code,Unknown
125,0,3556,481,Unknown,Other,Other - 0 status code,Unknown
126,0,3556,482,Unknown,Other,Other - 0 status code,Unknown
127,0,3556,488,Unknown,Other,Other - 0 status code,Unknown
128,0,3556,677,Unknown,Other,Other - 0 status code,Unknown
129,0,3556,766,Unknown,Other,Other - 0 status code,Unknown
130,0,3557,734,Unknown,Other,Other - 0 status code,Unknown
131,0,3561,733,Unknown,Other,Other - 0 status code,Unknown
132,0,3617,485,Unknown,Other,Other - 0 status code,Unknown
133,0,3617,734,Unknown,Other,Other - 0 status code,Unknown
134,0,3678,692,Unknown,Other,Other - 0 status code,Unknown
135,0,3704,692,Unknown,Other,Other - 0 status code,Unknown
136,0,3723,868,Unknown,Other,Other - 0 status code,Unknown
137,0,3733,485,Unknown,Other,Other - 0 status code,Unknown
138,0,3733,733,Unknown,Other,Other - 0 status code,Unknown
139,0,3766,734,Unknown,Other,Other - 0 status code,Unknown
140,0,3824,734,Unknown,Other,Other - 0 status code,Unknown
141,0,3843,867,Unknown,Other,Other - 0 status code,Unknown
142,0,3888,485,Unknown,Other,Other - 0 status code,Unknown
143,0,3888,733,Unknown,Other,Other - 0 status code,Unknown
144,0,3960,733,Unknown,Other,Other - 0 status code,Unknown
145,0,3963,485,Unknown,Other,Other - 0 status code,Unknown
146,0,3963,734,Unknown,Other,Other - 0 status code,Unknown
147,0,4072,485,Unknown,Other,Other - 0 status code,Unknown
148,0,4072,734,Unknown,Other,Other - 0 status code,Unknown
149,0,4145,310,Unknown,Other,Other - 0 status code,Unknown
150,0,4146,311,Unknown,Other,Other - 0 status code,Unknown
151,0,4146,361,Unknown,Other,Other - 0 status code,Unknown
152,0,4206,798,Unknown,Other,Other - 0 status code,Unknown
153,0,4207,800,Unknown,Other,Other - 0 status code,Unknown
154,0,4207,801,Unknown,Other,Other - 0 status code,Unknown
155,0,4212,732,Unknown,Other,Other - 0 status code,Unknown
156,0,4236,362,Unknown,Other,Other - 0 status code,Unknown
157,0,4246,362,Unknown,Other,Other - 0 status code,Unknown
158,0,4273,355,Unknown,Other,Other - 0 status code,Unknown
159,0,4275,306,Unknown,Other,Other - 0 status code,Unknown
160,0,4275,356,Unknown,Other,Other - 0 status code,Unknown
161,0,4285,309,Unknown,Other,Other - 0 status code,Unknown
162,0,4286,360,Unknown,Other,Other - 0 status code,Unknown
163,0,4370,427,Unknown,Other,Other - 0 status code,Unknown
164,0,4394,733,Unknown,Other,Other - 0 status code,Unknown
165,0,4522,700,Unknown,Other,Other - 0 status code,Unknown
166,0,4555,732,Unknown,Other,Other - 0 status code,Unknown
167,0,4564,700,Unknown,Other,Other - 0 status code,Unknown
168,0,4572,691,Unknown,Other,Other - 0 status code,Unknown
169,0,4580,731,Unknown,Other,Other - 0 status code,Unknown
170,0,4591,867,Unknown,Other,Other - 0 status code,Unknown
171,0,4613,733,Unknown,Other,Other - 0 status code,Unknown
172,0,4632,866,Unknown,Other,Other - 0 status code,Unknown
173,0,4643,336,Unknown,Other,Other - 0 status code,Unknown
174,0,4722,483,Unknown,Other,Other - 0 status code,Unknown
175,0,4722,732,Unknown,Other,Other - 0 status code,Unknown
