time_sk,hour,minute,am_pm,time_band,shift_id
243,2,43,AM,Early Morning,1
244,2,44,AM,Early Morning,1
245,2,45,AM,Early Morning,1
246,2,46,AM,Early Morning,1
247,2,47,AM,Early Morning,1
248,2,48,AM,Early Morning,1
249,2,49,AM,Early Morning,1
250,2,50,AM,Early Morning,1
251,2,51,AM,Early Morning,1
252,2,52,AM,Early Morning,1
253,2,53,AM,Early Morning,1
254,2,54,AM,Early Morning,1
255,2,55,AM,Early Morning,1
256,2,56,AM,Early Morning,1
257,2,57,AM,Early Morning,1
258,2,58,AM,Early Morning,1
259,2,59,AM,Early Morning,1
300,3,0,AM,Early Morning,1
301,3,1,AM,Early Morning,1
302,3,2,AM,Early Morning,1
303,3,3,AM,Early Morning,1
304,3,4,AM,Early Morning,1
305,3,5,AM,Early Morning,1
306,3,6,AM,Early Morning,1
307,3,7,AM,Early Morning,1
308,3,8,AM,Early Morning,1
309,3,9,AM,Early Morning,1
310,3,10,AM,Early Morning,1
311,3,11,AM,Early Morning,1
312,3,12,AM,Early Morning,1
313,3,13,AM,Early Morning,1
314,3,14,AM,Early Morning,1
315,3,15,AM,Early Morning,1
316,3,16,AM,Early Morning,1
317,3,17,AM,Early Morning,1
318,3,18,AM,Early Morning,1
319,3,19,AM,Early Morning,1
320,3,20,AM,Early Morning,1
321,3,21,AM,Early Morning,1
322,3,22,AM,Early Morning,1
323,3,23,AM,Early Morning,1
324,3,24,AM,Early Morning,1
325,3,25,AM,Early Morning,1
326,3,26,AM,Early Morning,1
327,3,27,AM,Early Morning,1
328,3,28,AM,Early Morning,1
329,3,29,AM,Early Morning,1
330,3,30,AM,Early Morning,1
331,3,31,AM,Early Morning,1
332,3,32,AM,Early Morning,1
333,3,33,AM,Early Morning,1
334,3,34,AM,Early Morning,1
335,3,35,AM,Early Morning,1
336,3,36,AM,Early Morning,1
337,3,37,AM,Early Morning,1
338,3,38,AM,Early Morning,1
339,3,39,AM,Early Morning,1
340,3,40,AM,Early Morning,1
341,3,41,AM,Early Morning,1
342,3,42,AM,Early Morning,1
343,3,43,AM,Early Morning,1
344,3,44,AM,Early Morning,1
345,3,45,AM,Early Morning,1
346,3,46,AM,Early Morning,1
347,3,47,AM,Early Morning,1
348,3,48,AM,Early Morning,1
349,3,49,AM,Early Morning,1
350,3,50,AM,Early Morning,1
351,3,51,AM,Early Morning,1
352,3,52,AM,Early Morning,1
353,3,53,AM,Early Morning,1
354,3,54,AM,Early Morning,1
355,3,55,AM,Early Morning,1
356,3,56,AM,Early Morning,1
357,3,57,AM,Early Morning,1
358,3,58,AM,Early Morning,1
359,3,59,AM,Early Morning,1
400,4,0,AM,Early Morning,1
401,4,1,AM,Early Morning,1
402,4,2,AM,Early Morning,1
403,4,3,AM,Early Morning,1
404,4,4,AM,Early Morning,1
405,4,5,AM,Early Morning,1
406,4,6,AM,Early Morning,1
407,4,7,AM,Early Morning,1
408,4,8,AM,Early Morning,1
409,4,9,AM,Early Morning,1
410,4,10,AM,Early Morning,1
411,4,11,AM,Early Morning,1
412,4,12,AM,Early Morning,1
413,4,13,AM,Early Morning,1
414,4,14,AM,Early Morning,1
415,4,15,AM,Early Morning,1
416,4,16,AM,Early Morning,1
417,4,17,AM,Early Morning,1
418,4,18,AM,Early Morning,1
419,4,19,AM,Early Morning,1
420,4,20,AM,Early Morning,1
421,4,21,AM,Early Morning,1
422,4,22,AM,Early Morning,1
423,4,23,AM,Early Morning,1
424,4,24,AM,Early Morning,1
425,4,25,AM,Early Morning,1
